reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
244028f5-a422-4ec6-a543-effb2a514822,Santoso santoso,https://play-lh.googleusercontent.com/a/ACg8ocJ4T2BtpFJmReEuUlfrOt_GvymU4gb9ch0KOEGe4DTUcIDbRQ=mo,"Ini Negri yang ga mau Introspeksi . Sekelas Aplikasi untuk satu Negri saja seperti ini banyak masalah tidak berbenah, itu pun ga semua orang Indonesia pakai . Terlalu rumit persyaratan nya , sebagian susah untuk Claim , Padahal Pembayaran selama bekerja sudah pasti . Saya sendiri Claim sekali ok , bulan ke 2 ga bisa karna tidak ada Lowongan kerja yang ditampilkan untuk dilamar selesaikan tantangan . Alhasil hanya dapat 1 kali saja .. Kecewa.",2,11,6.0.5,2025-02-25 22:30:09,,,6.0.5
c0f094e8-8185-4fa7-b29a-b0d9baa82f72,Desi Alsyfa,https://play-lh.googleusercontent.com/a-/ALV-UjU-slNAKoDIQigfD1lEgSddY4sfjxzyu_mnhEJPFeC84QM5EV3g,"Dimohon banget kepada admin untuk baca ulasan ini, saya pernah melamar kerja lewat apk ini tapi malah penipuan (?) saya di arahkan ke website untuk bikin akun setelah itu dimintai TF namun untungnya saya sadar jadi tidak terkena penipuan ini, tapi saya takut ada korban lain nyaa😢 mohon banget yaa min tingkatin KEAMANAN nyaa. sebenernya masih banyak keluhan lain tentang apk ini, mulai dari yang suka logout sendiri, gak bisa edit profil bagian pengalaman dan lainnya.",2,24,6.0.5,2025-01-25 13:55:18,,,6.0.5
c09e14e7-bd74-4331-8c76-5255bc8083ad,Cahyana Ajz,https://play-lh.googleusercontent.com/a/ACg8ocIMmDCMGLdA-T6KCcYa8QiD0slLXXiH0mDAjxDsu4qPIvfgJw=mo,"buka link via web buat lapor atau aduan disuruh unduh app nya, oke, unduh, buat akun, masuk, klik menu lapor/aduan malah masuk lagi ke web, trus malah disuruh login lagi.. trus fungsi lu apa sebagai aplikasi..",1,26,6.0.5,2025-03-20 10:42:29,,,6.0.5
8555d9eb-354b-438a-abb0-5916c8acf7c3,Nopia Hasanah,https://play-lh.googleusercontent.com/a-/ALV-UjX7TQBTfdtjmFiwsZbFHYvB_GljyCx-A7b7nX8kuyiSzMoJQBU,"baru juga mau daftar malah tidak bisa padahal semuanya sudah benar bahkan email pun sudah benar tapi tetep saja ada tulisan email yg dimasukan salah,mau lewat apk ataupun web sama saja",1,2,6.0.5,2025-04-06 15:11:30,,,6.0.5
a065c0ff-8d92-4634-982f-6229cb8b52e9,Angga Pembrani,https://play-lh.googleusercontent.com/a/ACg8ocIHeZosiFs6ciZRfg7GuveJkF2-QzYRxWqGlShl3dOBG8LgVw=mo,tolong bantu kenapa claim ke 3 tidak bisa di proses untuk misi sudah di selesaikan semua akan tetapi di aplikasi tetap harus menyelesaikan misi untuk claim waktu di clik misi sudah selesai,3,6,6.0.5,2025-03-26 01:38:42,,,6.0.5
8c36ee5e-a8c3-4817-8358-7bd821a5497a,Nde Zow,https://play-lh.googleusercontent.com/a/ACg8ocKkdn4dl-GKx3WiqiO7Gtvwl30uQraijz4c6vRp4hwKgJ9x3g=mo,"ada kolom, anda belum terdaftar di program jkp, klik dibawah ini untuk.... Tapi tidak bisa di klik Tidak berfungsi Satu lagi jaminan kehilangan pekerjaan kok di batasi umur??",3,0,6.0.5,2025-03-22 07:30:58,,,6.0.5
1c75f9dc-3b56-4e4f-899e-eb81068dabac,M Rival Akbar,https://play-lh.googleusercontent.com/a-/ALV-UjX0U1jBXaFHFsUujZGpvg0uUpeIkmZuCxEtwePcZkoF4xkWG4w,Buat pengisian pendidikan untuk S1 bagian nilai masa ga bisa titik atau koma buat nilai IPK. Mohon diperbaiki lagi padahal bagus ada aplikasinya buat menambah pelatihan dan pengalaman kerja,3,8,6.0.5,2025-03-02 13:25:19,,,6.0.5
b65e6832-aebf-48f3-906a-bd8ad6d2dac9,arizky fariadmono,https://play-lh.googleusercontent.com/a/ACg8ocIef1y_nD8i9E6tA9HK0IRNnaarHRrWkbQNYAIu0fLUZimHN6I=mo,apk belum jadi sepenuhnya malah di rilis yaa gini nih banyak bug masalah sana sini. bukanya berbenah memperbaiki kesalahan malah menghilang.,1,27,6.0.5,2025-02-01 01:50:45,,,6.0.5
5f1420b7-ef47-4e75-990e-6d1339770b0a,J1 Ace,https://play-lh.googleusercontent.com/a-/ALV-UjVk5I4wA36hQGeWLIM1GJcDK5zosbwMqH_f3PFk9821MkcEUM39,"Saya sudah berekspektasi besar banget ama ni apk karna langsung di bawah kementerian,tapi ni apk gk jamin dapat kerja,trus klo mau mempelajari skill hanya tersedia di kota kota dan jarang banget di daerah terpencil, saran saya kemnaker ke setiap desa untuk mendata pengangguran trus beri pelatihan kerja secara gratis dan juga penyaluran kerja supaya memperkecil jumlah pengangguran",3,4,6.0.5,2025-02-15 05:42:25,,,6.0.5
2bf487b2-b4bc-40ac-92d3-111f36c35720,Budi Awan,https://play-lh.googleusercontent.com/a-/ALV-UjXXkQORAk-cBE2et32pcWeibt65WcS1cw0S9L__J7xglvc8COQ,"pantesan dapet rating rendah, pemeliharaan aplikasinya jarang sekali, BUTUH UPDATE SOFTWARE AGAR BUG2NYA DI HILANGKAN!!!, MAU NEGELENGKAPIN PROFIL AJA LEMOT BENER AKHIRNYA STUG DI SITU G BISA DI LANJUTIN LAGI, DAN PADA AKHIRNYA KELUAR DAN TIDAK MENGHASILKAN APA2",1,28,6.0.5,2025-02-18 10:24:58,,,6.0.5
